"site","region","apn","product","part_description","sto_class","req_number","req_qty","req_date","days_open"
"BWI2","EU","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","31219","2.0","2015-05-12","4098"
"BWI2","EU","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","31219","14.0","2015-05-12","4098"
"BWI2","EU","10087","USP","THREADED INSERT CTM C-PM-INS1010","03 LOW","31219","14.0","2015-05-12","4098"
"BWI2","EU","10090","USP","Shoulder Screw,18-8 Stainless Steel,3/8"""" Shoulder Dia., 1"""" Shoulder Length,5/16-18 Thread,PK2","02 MED","31219","13.0","2015-05-12","4098"
"ORF3","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","1273472","4.0","2024-11-30","608"
"PVD2","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","1371373","1.0","2025-04-07","480"
"PVD2","NA","N37843","USP","REWIND CONTROL/POWER ON RELAY FOR 3600A APPLICATORS - PE-RE1017","02 MED","1371373","1.0","2025-04-07","480"
"SHV1","NA","10049258","URL","SITOP SEL1200 SELECTIVITY MODULE 8-CHANNEL SWITCHING CHARACTERISTIC INPUT","02 MED","1432724","5.0","2025-06-12","414"
"SHV1","NA","3129296","URL","AUX CONTACT BLOCK","03 LOW","1473913","4.0","2025-07-24","372"
"PVD2","NA","54023","USP","TAPER-LOCK BUSHING, 1610 20MM BORE","02 MED","1480918","2.0","2025-08-01","364"
"DAB2","NA","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","02 MED","1529474","2.0","2025-09-19","315"
"SHV1","NA","1124470","URL","SENSOR AMPLIFIER, LASER THRUBEAM, M8, PNP, KEYENCE","02 MED","1557578","3.0","2025-10-15","289"
"SHV1","NA","3129289","URL","O RING, 10026407 BS1806-020 VMQ70","02 MED","1572384","372.0","2025-10-29","275"
"ORF4","NA","1060925","USP","RING-GRIP QUICK-RELEASE PIN","02 MED","1582063","4.0","2025-11-06","267"
"ORF4","NA","3008745","URL","BOARD 200041062","02 MED","1585700","1.0","2025-11-10","263"
"SHV1","NA","N27503","URL","RED DGE 23Q20L14","02 MED","1586206","2.0","2025-11-10","263"
"SHV1","NA","C-2855","EcoPac","PHOTOCEL S45-PH-5-B03-PH","02 MED","1589660","1.0","2025-11-13","260"
"PVD2","NA","49344","USP","Zebra ZE52163-R010000Z Print Engine","02 MED","1618827","1.0","2025-12-08","235"
"ORF4","NA","3008709","URL","Tube guide roller incl. bearings","02 MED","1619797","1.0","2025-12-09","234"
"ORF4","NA","3008776","URL","Tube guide roller Shaft","02 MED","1619797","1.0","2025-12-09","234"
"ORF3","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","1621999","4.0","2025-12-10","233"
"SHV1","NA","N54020","USP","STOPPER BOLT, M6X1.0, L 20MM, WITH HEX SOCKET TIP, STRAIGHT TYPE, BUMPER URETHAN","02 MED","1622470","1.0","2025-12-11","232"
"ORF4","NA","3040796","EcoPac","SHARE 770X8X8","02 MED","1626500","1.0","2025-12-15","228"
"ORF4","NA","3077267","URL","P6 ROBOT ARM ASSEMBLY","02 MED","1626499","1.0","2025-12-15","228"
"SHV1","NA","3316632","URL","PLUNGER_SPRING","01 HIGH","1634582","28.0","2025-12-20","223"
"ORF4","NA","3129354","URL","USB TO SERIAL CABLE","02 MED","1635439","2.0","2025-12-22","221"
"ORF4","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","02 MED","1639804","1.0","2025-12-26","217"
"ORF4","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","1641614","2.0","2025-12-29","214"
"SHV1","NA","3129368","URL","SERVO CONTROL MODULE","02 MED","1660396","5.0","2026-01-15","197"
"SHV1","NA","3129313","URL","2500VA 480/115VAC TRANSFORMER","02 MED","1662883","3.0","2026-01-16","196"
"TLH2","NA","49344","USP","Zebra ZE52163-R010000Z Print Engine","01 HIGH","1665563","1.0","2026-01-20","192"
