"site","region","apn","product","part_description","sto_class","consumed_30d","consumed_60d","consumed_90d","consumed_150d","consumed_all","rate_30d","rate_60d","rate_90d","rate_150d","days_with_consumption_150d"
"ABQ1","NA","1000078","USP","Sensor, proximity, SME-8M-DS-24V-K-0, 3-M8D","02 MED","1.0","1.0","1.0","1.0","1.9999999999999998","0.0333","0.0167","0.0111","0.0067","3"
"ABQ1","NA","1001191","USP","VPL-B1003F-PJ12AA SERVO MOTOR","01 HIGH","0.0","1.0","1.0","1.0","2.0","0.0","0.0167","0.0111","0.0067","1"
"ABQ1","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","02 MED","1.0","1.0","1.0","1.0","2.0","0.0333","0.0167","0.0111","0.0067","2"
"ABQ1","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"ABQ1","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"ABQ1","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","02 MED","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0"
"ABQ1","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"ABQ1","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","02 MED","0.0","1.0","1.0","1.0","2.0","0.0","0.0167","0.0111","0.0067","1"
"ABQ1","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","0.0","4.0","5.0","7.0","7.0","0.0","0.0667","0.0556","0.0467","5"
"ABQ1","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"ABQ1","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1.0","2.0","2.0","2.0","2.0","0.0333","0.0333","0.0222","0.0133","2"
"ABQ1","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","0.0","2.0","5.0","5.0","5.0","0.0","0.0333","0.0556","0.0333","5"
"ABQ1","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0111","0.0067","1"
"ABQ1","NA","3043401","USP","Stopper Bolt, M8x1.25, L 25mm, Standard Tip, Straight Type, Bumper Urethane",,"0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"ABQ1","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","02 MED","0.0","2.0","2.0","5.0","5.0","0.0","0.0333","0.0222","0.0333","4"
"ABQ1","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0133","2"
"ABQ1","NA","3466170","USP","DSNU, BORE 25MM, STROKE 100MM, DOUBLE ACTING, LATERAL AIR,","01 HIGH","1.0","1.0","1.0","3.0","4.0","0.0333","0.0167","0.0111","0.02","3"
"ABQ1","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","02 MED","2.0","3.0","5.01","8.01","12.01","0.0667","0.05","0.0557","0.0534","9"
"ABQ1","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1.0","1.0","1.0","2.0","2.0","0.0333","0.0167","0.0111","0.0133","2"
"ABQ1","NA","49960","USP","MDC100-050101 DRIVE","01 HIGH","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0"
"ABQ1","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","0.0","4.0","4.0","4.0","4.0","0.0","0.0667","0.0444","0.0267","1"
"ABQ1","NA","N37377","USP","SC300-2 SHOCK ABSORBER","02 MED","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0"
"ABQ1","NA","N54020","USP","STOPPER BOLT, M6X1.0, L 20MM, WITH HEX SOCKET TIP, STRAIGHT TYPE, BUMPER URETHAN","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
