"site","region","apn","product","part_description","sto_class","min_level","supplier_lead_time","expected_daily_rate","actual_daily_rate","consumed_180d","actual_vs_expected_ratio"
"MQY1","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1.0","95.0","0.0105","0.1501","27.01","14.2595"
"SAV4","NA","N53951","USP","RADIAL BALL BEARING","02 MED","1.0","56.0","0.0179","0.15","27.0","8.4"
"DET6","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","1.0","87.0","0.0115","0.0889","16.0","7.7343"
"ORF4","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","2.0","38.0","0.0526","0.3667","66.0","6.9673"
"SHV1","NA","3077266","URL","Telescopic axis","02 MED","1.0","30.0","0.0333","0.2222","40.0","6.666"
"CLE3","NA","1068918","URL","Zebra, P1112750-039, Platen/Pinch & Peel Rollers, LH/RH","01 HIGH","1.0","63.0","0.0159","0.1001","18.009999999999998","6.3063"
"SHV1","NA","76546","URL","PUSH-IN FITTING ELBOW PISCO #PL1/4-01-1.8","02 MED","1.0","28.0","0.0357","0.2222","40.0","6.2216"
"CLE3","NA","2031551","URL","Zebra ZE511 print head 300dpi ZE511 RH&L","02 MED","2.0","88.0","0.0227","0.1388","24.990000000000002","6.1072"
"SHV1","NA","3129347","URL","SWITCHING AUTOMATION LIGHT GRIDS SLG-2 (SLG10S-010SBR21D40)","02 MED","2.0","70.0","0.0286","0.1722","31.0","6.027"
"SYR1","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1.0","95.0","0.0105","0.0556","10.0","5.282"
"SHV1","NA","3129340","URL","PNOZ m EF SAFETYNET","02 MED","2.0","140.0","0.0143","0.0722","13.0","5.054"
"DAB2","NA","1061526","USP","SERVO DRVE AMP JR_AUTO JR0000549642","02 MED","1.0","113.0","0.0088","0.0389","7.0","4.3957"
"SAN3","NA","72902","USP","kit,motor assy, high speed...","03 LOW","1.0","126.0","0.0079","0.0333","6.0","4.1958"
"DET6","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","01 HIGH","1.0","35.0","0.0286","0.1167","21.0","4.0845"
"SHV1","NA","3077271","URL","INTERLOCK SW. (FULLY CODED) 24VDC","02 MED","2.0","110.0","0.0182","0.0722","13.0","3.971"
"ORD5","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1.0","95.0","0.0105","0.0389","7.0","3.6955"
"MLI1","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","03 LOW","10.0","38.0","0.2632","0.9722","175.0","3.6944"
"SYR1","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","1.0","70.0","0.0143","0.05","9.0","3.5"
"SHV1","NA","3316631","URL","FITTING_PLASTIC","01 HIGH","2.0","21.0","0.0952","0.3333","60.0","3.4997"
"RIC4","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1.0","38.0","0.0263","0.0889","16.0","3.3782"
"PDX8","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","1.0","24.0","0.0417","0.1389","25.0","3.3336"
"ELP1","NA","3022944","USP","CAPTIVE GUARDING SCREWS","01 HIGH","1.0","24.0","0.0417","0.1278","23.0","3.0672"
"HOU6","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","1.0","24.0","0.0417","0.1278","23.0","3.0672"
"SHV1","NA","3288502","URL","RJ45 INDUSTRIAL PLUG 09451511100","02 MED","1.0","55.0","0.0182","0.0556","10.0","3.058"
"ORD5","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0278","5.0","3.0024"
"SYR1","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1.0","38.0","0.0263","0.0778","14.0","2.9564"
"SAN3","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","01 HIGH","1.0","21.0","0.0476","0.1333","24.0","2.7993"
"DAB2","NA","72902","USP","kit,motor assy, high speed...","02 MED","1.0","126.0","0.0079","0.0222","4.0","2.7972"
"PVD2","NA","3022983","USP","RIGHT ISOLATOR PLATE","01 HIGH","1.0","70.0","0.0143","0.0389","7.0","2.723"
"YXU1","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","02 MED","1.0","70.0","0.0143","0.0389","7.0","2.723"
"YXU1","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","1.0","96.0","0.0104","0.0278","5.0","2.6688"
"ABQ1","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1.0","95.0","0.0105","0.0278","5.0","2.641"
"SHV1","NA","92775","URL","SERIES 7000 21"" X 5.85' (22 ROWS) TRANSVERSE ROLLER V3 GREY ACETAL WITH BLACK POLYURETHANE AND ORANGE WEAR RESISTANT ACETAL ROLLER AND WHITE NYLON AXLE BOXED BELT WITH NATURAL ABRASION RESISTANT RODS","02 MED","1.0","38.0","0.0263","0.0667","12.0","2.5346"
"SHV1","NA","1068036","URL","Unknown","02 MED","1.0","45.0","0.0222","0.0556","10.0","2.502"
"SHV1","NA","3077262","URL","Slide films ‐ three sets of three","02 MED","1.0","30.0","0.0333","0.0833","15.0","2.499"
"SHV1","NA","3077264","URL","SOCKETS_BALL_SET_12","02 MED","1.0","30.0","0.0333","0.0833","15.0","2.499"
"SHV1","NA","3077265","URL","Springs ‐ set of 6","02 MED","1.0","30.0","0.0333","0.0833","15.0","2.499"
"MQY1","NA","72902","USP","kit,motor assy, high speed...","02 MED","2.0","126.0","0.0159","0.0389","7.0","2.4507"
"SAV4","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","1.0","21.0","0.0476","0.1167","21.01","2.4507"
"CLE3","NA","3288503","URL","Drive Roller Bearing","01 HIGH","1.0","55.0","0.0182","0.0444","8.0","2.442"
"RIC4","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0222","4.0","2.3976"
"LUK2","NA","61591","USP","TUBE FITTING, M5 TO 4MM","02 MED","2.0","70.0","0.0286","0.0667","12.0","2.3345"
"RIC4","NA","2066703","USP","BEARING BLOCK, LINEAR","02 MED","1.0","35.0","0.0286","0.0667","12.0","2.3345"
"DET6","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","1.0","14.0","0.0714","0.1667","30.0","2.3338"
"PDX8","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","1.0","70.0","0.0143","0.0333","6.0","2.331"
"SYR1","NA","N53977","USP","I110-E0454 SAFETY SWITCH","01 HIGH","1.0","70.0","0.0143","0.0333","6.0","2.331"
"SYR1","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","02 MED","1.0","100.0","0.01","0.0222","4.0","2.22"
"SAN3","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","1.0","21.0","0.0476","0.1056","19.0","2.2176"
"SYR1","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","1.0","14.0","0.0714","0.1558","28.039999999999996","2.1812"
"BOS3","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1.0","28.0","0.0357","0.0778","14.0","2.1784"
"DUS4","EU","N53951","USP","RADIAL BALL BEARING","01 HIGH","1.0","28.0","0.0357","0.0778","14.0","2.1784"
"ORD5","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","1.0","14.0","0.0714","0.1556","28.01","2.1784"
