Region,Ship To Company Code,Order Number,Line Number,APN,APN Description,APN Category,Supplier ID,Supplier Name,Supplier Catalog Part Number,Site,Site Description,Site Location,Order Date,Approval Date,Receipt Date,Due Date,Due Date Based On Lead Time,Criticality,Lead Time Final,Unit Price,Currency,Goods Or Services,Order Status,Line Status,Coupa PO Error Detail,Coupa Integration Status,Coupa Transmission Status,Req Created By ,Ship To Address,Status,Supplier Lead Time,Past Due Days,Ordered Qty,Received Qty,Remaining Qty,OH Qty,Max Qty,Min Qty,Outstanding Amount
NA,2D,2D-22144901,6,3022970,CUTTING KNIFE ASSEMBLY,ASSEMBLY,24216849-758186,ATS CORPORATION,10186289,ABQ1,"AR Sortable FC - Albuquerque, NM",NAMERICA,7/29/26 0:00,7/29/26 0:00,,11/5/26 0:00,9/30/26 0:00,01 HIGH,63,1225,USD,Goods,A,A,,,sent_via_email,EAM,"ABQ1 FC (Albuquerque, NM)",issued,63,0,17,0,17,6,26,25,20825
NA,2D,2D-22144901,2,3022942,"CLAMP, LOOP NYLON 7/8"" X 1 1/2",CLAMP,24216849-758186,ATS CORPORATION,8876T4,ABQ1,"AR Sortable FC - Albuquerque, NM",NAMERICA,7/29/26 0:00,7/29/26 0:00,,11/5/26 0:00,8/19/26 0:00,01 HIGH,21,4500,USD,Goods,A,A,,,sent_via_email,EAM,"ABQ1 FC (Albuquerque, NM)",issued,21,0,3,0,3,0,3,1,13500
NA,2D,2D-21983355,2,3022970,CUTTING KNIFE ASSEMBLY,ASSEMBLY,24216849-758186,ATS CORPORATION,10186289,RIC4,"AR Sortable FC - Richmond, VA",NAMERICA,7/14/26 0:00,7/14/26 0:00,,6/10/27 0:00,9/15/26 0:00,01 HIGH,63,1225,USD,Goods,A,A,,,sent_via_email,EAM,RIC4 Offsite Fastenal,issued,63,0,11,0,11,26,26,25,13475
NA,2D,2D-21773140,1,3022970,CUTTING KNIFE ASSEMBLY,ASSEMBLY,24216849-758186,ATS CORPORATION,10186289,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,6/24/26 0:00,6/24/26 0:00,,10/3/26 0:00,8/26/26 0:00,01 HIGH,63,1225,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,63,0,10,0,10,6,35,34,12250
NA,2D,2D-21787761,1,3022970,CUTTING KNIFE ASSEMBLY,ASSEMBLY,24216849-758186,ATS CORPORATION,10186289,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,6/25/26 0:00,6/25/26 0:00,,10/3/26 0:00,8/27/26 0:00,01 HIGH,63,1225,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,63,0,10,0,10,6,35,34,12250
NA,2D,2D-20668450,2,3022943,"HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306177,ORF3,"AR Sortable FC - Suffolk, VA",NAMERICA,3/13/26 0:00,3/13/26 0:00,,7/3/26 0:00,7/17/26 0:00,01 HIGH,126,1645,USD,Goods,A,A,,,sent_via_email,EAM,ORF3 Offsite Richmond Express,issued,126,14,6,0,6,4,6,5,9870
NA,2D,2D-20668450,4,3022950,"HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306173,ORF3,"AR Sortable FC - Suffolk, VA",NAMERICA,3/13/26 0:00,3/13/26 0:00,,7/3/26 0:00,7/17/26 0:00,01 HIGH,126,1645,USD,Goods,A,A,,,sent_via_email,EAM,ORF3 Offsite Richmond Express,issued,126,14,6,0,6,0,6,5,9870
NA,2D,2D-21824020,1,49345,ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH,PRINTER,11323275-315106,BARCODE TECHNOLOGIES & SERVICES INC,P1112750-013,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,6/29/26 0:00,6/29/26 0:00,,7/3/26 0:00,7/6/26 0:00,02 MED,7,889,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,7,25,11,0,11,2,10,5,9779
NA,2D,2D-21555812,1,3022943,"HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306177,DET6,"AR Sortable FC - Detroit, MI",NAMERICA,6/4/26 0:00,6/4/26 0:00,,8/11/26 0:00,10/8/26 0:00,01 HIGH,126,1550,USD,Goods,A,A,,,sent_via_email,EAM,DET6 AMZL Offsite,issued,126,0,6,0,6,0,6,3,9300
NA,2D,2D-20668450,1,3022941,"VERTICAL TOP, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306182,ORF3,"AR Sortable FC - Suffolk, VA",NAMERICA,3/13/26 0:00,3/13/26 0:00,,7/3/26 0:00,7/17/26 0:00,01 HIGH,126,1445,USD,Goods,A,A,,,sent_via_email,EAM,ORF3 Offsite Richmond Express,issued,126,14,6,0,6,1,6,5,8670
