site,product
ABQ1,USP
AGS1,USP
AKC1,USP
AUS2,USP
BDL4,USP
BOS3,USP
BWI2,USP
DAB2,USP
DEN4,USP
DEN9,USP
DET6,USP
ELP1,USP
FSD1,USP
FWA6,USP
GEG1,USP
GYR1,USP
HOU6,USP
IAG1,USP
IGQ1,USP
ILM1,USP
LUK2,USP
MKC6,USP
MLI1,USP
MQY1,USP
MTN1,USP
OMA2,USP
ORD5,USP
ORF3,USP
ORF4,USP
ORH3,USP
OXR1,USP
PAE2,USP
PDX8,USP
PVD2,USP
RIC4,USP
RIC6,USP
SAN3,USP
SAT3,USP
SAV4,USP
SBD6,USP
SBN1,USP
SCK6,USP
SHV1,USP
SYR1,USP
TLH2,USP
TPA4,USP
TYS1,USP
VGT1,USP
YEG2,USP
YHM1,USP
YOW3,USP
YXU1,USP
YYC4,USP
BCN4,USP
BHX2,USP
BRQ2,USP
DSA6,USP
DUS4,USP
EMA2,USP
KTW3,USP
LCY3,USP
LYS2,USP
MXP6,USP
NCL1,USP
POZ2,USP
STN6,USP
SVQ1,USP
SHV1,URL Rev C
ORF3,URL Rev C
ORF4,URL Rev C
CLE3,URL Rev C2
BCN4,URL Rev C2
ORH3,URL Rev C2
PAE2,URL Rev C2
DEN9,URL Rev C2
IAG1,URL Rev C2
ORF3,URL Rev C2
ORF4,URL Rev C2
BDL4,URL Rev D
BOS3,URL Rev D
ILM1,URL Rev D
RIC4,URL Rev D
SYR1,URL Rev D
YOW3,URL Rev D
TPA4,URL Rev D
MQY1,URL Rev D
TYS1,URL Rev D
DCA1,URL Rev D
RIC6,URL Rev D
LUK2,URL Rev D
DUS4,URL Rev D
